0.000000000000000000e+00,9.856332010865553883e-01
2.238332599633417178e-07,9.643595711828868433e-01
4.476665199266834356e-07,9.269529510753832247e-01
6.714997798900251534e-07,8.793901333073697035e-01
8.953330398533668712e-07,8.234239685456744562e-01
1.119166299816708589e-06,7.764306947613822674e-01
1.342999559780050307e-06,7.397076041827718162e-01
1.566832819743391813e-06,7.122945503876288997e-01
1.790666079706733742e-06,6.926904791422369145e-01
2.014499339670075248e-06,6.829942430396824804e-01
2.238332599633417178e-06,6.821008424904699829e-01
2.462165859596759107e-06,6.835485126216328533e-01
2.685999119560100613e-06,6.799542030012145633e-01
2.909832379523442120e-06,6.813041598206397431e-01
3.133665639486783626e-06,6.824055528764014777e-01
3.357498899450125555e-06,6.844822862704456057e-01
3.581332159413467485e-06,6.822729414939183723e-01
3.805165419376808567e-06,6.804599086428637644e-01
4.028998679340150497e-06,6.811377573184264067e-01
4.252831939303492850e-06,6.823818697025900715e-01
4.476665199266834356e-06,6.796621389808661373e-01
4.700498459230175862e-06,6.811319581236108256e-01
4.924331719193518215e-06,6.830201591711295706e-01
5.148164979156859721e-06,6.826074190372450889e-01
5.371998239120201227e-06,6.802057065170568073e-01
5.595831499083542733e-06,6.833903046851650398e-01
5.819664759046884239e-06,6.832010964332956293e-01
6.043498019010225745e-06,6.832067711561267132e-01
6.267331278973567251e-06,6.833538113067284536e-01
6.491164538936909604e-06,6.830274302778324147e-01
6.714997798900251110e-06,6.873711733310653438e-01
